"","movieTitle","score","regDate","wom"
"4424","빅 히어로",10,"2015-01-21","10.0왜색은 무슨 왜색 그런거 하나도 없더만 괜히 난리                    "
"9518","변호인",10,"2013-12-19","10.0마지막 장면에 죄수복이 왜 난 수의로 보이는 이유가 뭔지... 흰죄수복에.. 환한 미소..                     "
"7156","또 하나의 약속",10,"2014-03-05","10.0꼭 봐야할 영화... 꼭꼭 숨어있는 상영관 찾아 관람 완료했습니다... 영화도 뿌듯하고 제 마음도 뿌듯하고... 하지만, 눈물을 참을 수 없는 영화네요... 우리가 너무 속고 살고있는 듯 합니다... 어렵게 만든 영화이니 만큼 끝까지 분전하시길~~~                    "
"831","설국열차",10,"2013-08-01","10.0틸다 스윈튼, 남주인공 연기 대박!! ㅠ 많은 여운이 남는 영화.. 역시 봉준호!                     "
"8021","스탠 바이 미",9,"2013-07-11","9.0풋풋한 소년 시절의 리버 피닉스를 볼수 있다는 것만으로도 플러스 요소가 되는 영화. 같은 나이 또래 소년들 중에서 가장 철이 많이 든 듯한 아이를 연기해서 더욱더 짠해지는 그런 느낌이 들었다.                    "
"4608","진짜로 일어날지도 몰라 기적",9,"2013-09-03","9.0달려오던 두 열차가 처음 스쳐갈 때 소원을 빌면 이루어진다는 사기같은 소문을 지어내어 퍼트린 작자도 진짜로 믿고 소원을 빈 너희같은 아이들이 있으리라곤 생각하지 못 했을거야. 너희들이 소원을 빌 때 나도 같이 빌 걸 그랬어. 영화가 끝나고 아쉬운 건 그것뿐.                    "
"856","화이 : 괴물을 삼킨 아이",7,"2013-12-14","7.0그냥 저냥 볼만합니다.. 그닥 남는건 없으나~ 몰입도는 좋아요.                    "
"7235","노팅 힐",10,"2015-02-24","10.0지금 다시 봐도 절대 촌스럽게 느껴지지 않는 세련된 영화. 로맨틱영화의 진수를 보여주는 영화가 노팅힐이아닐까 싶을만큼 여전히 보면서 나도모르게 설레이고 수줍은 감정이 든다. 휴 그랜트의 평범한듯 멋진 남자의 정석은 어디서도 못볼 캐릭터인듯 하다. 특유의 영국억양또한!! 아직도 선명하게 귓가에 맴도는 주제곡.                    "
"3318","19곰 테드",10,"2013-09-23","10.0테드가 죽었다 다시 살아나서 해피 엔딩이라서 10점 줘유. 근디 제목은 어느 바보가 한거야. 테드잖아. 19 곰은 무슨.                    "
"8684","론 레인저",7,"2013-07-06","7.0진중함이라고는 찾아볼 수 없는 서부 활극. 기대가 너무 커서일까, 조금은 실망한 감이 없지 않아 있다. 열차 격투 장면의 퀄리티는 어느 액션 영화에 비해도 뛰어난 편이지만 전반적으로 조금 루즈하고 뻔한 진행이 단점. 곳곳에서 보여주는 깨알 같은 코미디는 최고다. 볼만한 영화.                    "
"7869","변호인",10,"2013-12-31","10.0그냥 보세요 보고 평가하세요                     "
"1143","5일의 마중",9,"2014-11-23","9.0한 시대의 광기가 평범한 한 가정을 어떻게 파괴했고..그 상처를 치유하는 과정이 얼마나 지난한가를 장예모의 섬세한 연출과 공리,진도명등 관록의 연기파 배우들이 잘 표현했다. 영화 보는 내내 북한과 남한의 시대적 광기는 언제나 청산될 수 있을지...하는 안타까움이 들었다                     "
"792","베를린",8,"2013-01-30","8.0고퀄 아이리스. // 류승완과 정두홍의 무술액션은 참 맛있다. 그나저나 류승범은 이제 힘을 뺄 때도 됐는데...                    "
"4713","호빗 : 뜻밖의 여정",10,"2013-01-03","10.0오랜만에 판타지 영화를 봤는데 그 대상이 호빗이라서 다행입니다~ㅠ 2편이 빨리 나왔으면...... 정말 인상적이어서 계속 이 영화 생각이 나요ㅋㅋㅋㅋ추천, 추천, 또 추천입니다^^                    "
"5460","두근두근 내 인생",10,"2014-09-10","10.0인생의 중반에서 본 영화 가슴이 따뜻하고 우리 딸들에 대한 생각을 많이 하면서 미안하고 고맙고 앞으로 같이 나이를 먹어갈수록 함께 해야 할 것이 많구나 하며 본 영화입니다. 내인생을 돌아볼수 있는 정말 좋은 영화입니다.                     "
"8033","레미제라블",8,"2014-07-21","8.0노래들이 아주 멋있었다.                    "
"3196","바이올렛 앤 데이지",7,"2014-07-03","7.0알렉시스 블레델 팬이라면 보시오 이 언니는 언제까지 10대역이 가능할지 대단합니다. 무엇보다 제임스 갠돌피니의 연기가 최고!                     "
"6548","앵두야, 연애하자",6,"2013-07-04","6.0찌질 여자 넷이 남자들을 기다리는 듯 보이지만... 실상은 남자들을 고르고 있지 않은가~! ㅎㅎㅎ...물론 남자들 또한 마찬가지지만...부디 본인들은 고고한척...가식적인 강태공의 일자 낚시 바늘은 거둡시다들...!!!                    "
"5476","두사람이다",6,"2014-06-17","6.0나아가야 할 때와 멈춰야 할 때를 알지 못하는 감독의 복잡한 심경이 안쓰럽다                     "
"443","U-571",4,"2013-10-31","4.0어정쩡한 전쟁드라마에 그치는군                    "
"1161","논스톱",8,"2014-07-17","8.0생각보다 훨씬 긴장감이 넘치는...                    "
"4254","클래식",10,"2013-01-21","10.0이거보고 며칠 잠을 못잤다. 이건 무조건 10점이다.                    "
"5590","전설의 주먹",9,"2013-04-13","9.0오랜만에 스트레스 해소했네요 액션연ㄱ1 최고였습니다                    "
"9666","카운슬러",0,"2013-11-22","0.0최악 최악                     "
"5713","일대종사",9,"2013-08-29","9.0 배우들 연기 훌륭하고, 화면과 음악 아름답고, 대사 한마디 한마디마다 세상의 교훈이 묻어납니다ㅎ.                    "
"8298","어메이징 스파이더맨 2",10,"2014-04-28","10.0이런 대작느낌 나는 영화 오랫만이예요~ 1편보다 더 어메이징 해졌네요~                    "
"4459","오드 토머스",9,"2014-06-18","9.0영화 참 잘 봤다~~싶은 스토리와 연출..주인공 캐릭터의 매력...                    "
"9016","일대종사",10,"2013-09-11","10.0오랜만에 침묵이 많은 영화를 봤네요. 그런데도 전혀 지루하지 않고 먹먹했습니다. 좋아요.                    "
"302","노보케인",6,"2015-02-05","6.0코미디 장르이긴 한데 웃을 부분은 별로...스티브 마틴 출연 영화 중 재미가 젤 약할 듯 싶어요. 로라 던 이 분의 활약이 꽤 있어서 그 부분만 좀 흥미롭게 봤을 뿐.                    "
"3154","다이빙벨",0,"2014-10-06","0.0개쓰레기 선동영화 ㅋㅋㅋ 이종인+이상호 합작 대국민 사기극                    "
"9457","이미테이션 게임",4,"2015-02-23","4.0글쎄요....개인적으로 그닥 재미있거나 감동적이라고 느끼진 못했네요. 전쟁에 승리를 위헤 전투의 승패를 조절했다는 사실에 희생당할수 밖에 없는 사람들은 예나 지금이나 존재하지 않나 싶습니다.                    "
"2915","그랜드 부다페스트 호텔",8,"2014-03-25","8.0지방엔 이런영화는 못봄 상업영화밖에 상영안함 ;;;                    "
"808","인페르노",1,"2014-10-10","1.0색감, 미로, 살인이 짙어진 마녀, 홀로 남다.                    "
"1941","시간을 달리는 소녀",10,"2014-11-26","10.0수작. 귀엽게 여운이 남는다.                    "
"6412","행복",7,"2013-09-19","7.0허진호 감독의 영화 중에서는 약간 실망스러운 면이 있었습니다. 영화의 스토리 자체가 신파로 흐르기 쉬운 전형적인 소재여서 그런가요? 배우들의 연기를 자연스럽게 끝까지 끌어내는 허진호 감독만의 감성은 여전했습니다. 가슴 먹먹한 사랑에 눈물 흘리고 싶으신 분 강추.                     "
"3108","디스커넥트",10,"2013-09-19","10.0Connect 하기 위해 disconnect된 현대인들의 이야기... 우리 이야기_                    "
"8457","내 여자의 남자친구",10,"2014-03-29","10.0끝까지 보시길 ㅋㅋ 재밌어요 현실적으로 가능한 영화 그래서 무서운 생각까지 드는 영화 ㄷㄷ                    "
"4194","헝거게임 : 모킹제이",0,"2014-11-23","0.0돈주고 보기에는 아까운영화.정말최악 우롱당한 느낌...                    "
"7214","해무",10,"2014-08-14","10.0여기가 바닷가라 그런가 뱃사람인 선장의 치열한 절박감이 묵직하게 밀려와 계속 생각납니다.                    "
"794","지퍼스 크리퍼스 3: 커시드럴",0,"2013-02-08","0.0재미 없어여 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ                    "
"8464","정무문 : 100대 1의 전설",10,"2013-01-27","10.0좀 잔인하지만, 그래도 재밌게 봤습니다!!!!!!!!!! ^^                    "
"6038","점쟁이들",10,"2013-07-10","10.0난왜웃기냥 ㅋㅋ                    "
"8915","결정적 한방",1,"2013-01-04","1.0스텝들이 가엾다..코미디로 분류해놓고 안웃기는건 그렇다쳐도 영화가 중간가다가 순식간에 끝남                    "
"5603","국제시장",10,"2015-01-24","10.0보지도 않고 점수나 깎아내리는 좌음들 ㅉ극장서 두번본적은 타이타닉과 아바타이후세번째                    "
"188","라스트 엑소시즘: 잠들지 않는 영혼",9,"2013-06-27","9.0극장에서 보니까 더 무섭네용ㅎㅎ 역시 공포영화는 극장에서 ㅎㅎ                    "
"7142","비긴 어게인",10,"2014-09-10","10.0강렬한 임팩은 없은 것 같지만 잔잔한 여운을 남긴다. 조금의 불편함도 없이                    "
"9171","몽타주",10,"2013-05-17","10.0굿잼ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ                    "
"7144","노아",3,"2014-03-21","3.0기대안하고 봐야할영화 차라리 성경대로 풀던가 아니면 영화적인면을 더 앞세운던가참 어중간한영화Cg하나만 보려고 앉아있기는 힘들었던영화그리고 종교영화는 확실히 아닌듯                      "
"5411","역린",10,"2014-05-03","10.0낮은 평점은 영화가 전달하려는 메시지를 차단하려는 알바들의 몸부림.                    "
"9810","서칭 포 슈가맨",10,"2014-08-28","10.0남다른                     "
"4883","엑소더스: 신들과 왕들",3,"2014-12-05","3.0기대하고 보지마세요 집에서 십계보는게나음~~`                    "
"2706","브루스 올마이티",9,"2014-03-11","9.0흥미진진하고 유쾌한 영화. 약간의 억지 감동이 있지만 그것조차 나쁘지 않았다.                    "
"8134","퓨리",10,"2014-11-30","10.0send me.. 전쟁+종교 영화 완전히 빠져들었다                    "
"1364","변호인",9,"2013-12-20","9.0이념, 진영을 넘어 상식과 인권을 말하는 보편적 영화응답하라 민주주의응답하라 대한민국  헌법 제 1조 2항                    "
"11","클레멘타인",10,"2014-02-15","10.0죽기전에 한편의 영화관람만이 허용된다면 난 주저없이 이영화를 선택하리라!                    [1]                    "
"1687","자토이치 2",6,"2015-03-08","6.0하루카 연기는 열심히 했지만 뭔가 어설프다. 그 외에도 뭔가 부족한 영화, 감독의 연출력이 부족해서 그런듯...                    "
"3029","베를린",10,"2014-03-07","10.0대박 재밌음. 강추                    "
"2758","변호인",10,"2013-12-21","10.0방금 보고 왔는데 그 여운이 가라앉지 않네요. 삭막하게 살아오면서 잊고 지냈던 그 무엇을 다시 바라보게 만든 영화같아요.                    "
"1792","트랜스포머: 사라진 시대",2,"2014-06-28","2.0진짜재미없고 지루해 죽을뻔 제작비 생각해서 별하나                    "
"7316","국제시장",9,"2014-12-19","9.0누구 말처럼 새누리스럽지는 않네요..그 시절을 조금이나 겪은 세대로 공감이 많이 되고 눈물이 많이 났습니다. 부모님과 함께 다시 보고 싶네요..                    "
"5888","다이빙벨",10,"2014-10-27","10.0안보시면 후회 할 영화입니다! 꼭 보시고 느끼셔야 합니다.더 이상 세뇌된 불상한 영혼이 되지 않기 위하여......                    "
"2918","명량",7,"2014-08-01","7.0명량 찍는다고 할때부터 엄청 기대하고 개봉날만기다렸다 씨지브이 매진되서 메가박스와서 두시간 기다리고 봤는데...기대가 커서 인지  난 솔직히 실망 ㅡ.ㅡ왜놈들나올때  음악은 좋았다전투신이 너무 감정에 치우치고 와할정도의 새로운  기발한 신은 아니였다  또 이정현나오는 신은  억지로 감동주는 느낌                    "
"7569","타이타닉",10,"2013-03-01","10.0당시 극장서 2번보고 나중에 비디오테입까지 삿던기억이..상하 2개짜리라 비쌌던..ㅋㅋㅋㅋ                    "
"1398","몽타주",6,"2013-05-30","6.0많이 긴장하고 기대하며 보러 갔는데... 긴장감이 떨어지며 내용이 섬세하지 않아 아쉬움이 있음.                     "
"9834","미션 투 마스",9,"2014-10-17","9.02년 전에 나왔던 프로메테우스 3점, 14년 전에 나왔던 이거 9점 준다. 웬만하면 5점 이상 점수 안주는 사람이다.                    "
"1242","늑대소년",0,"2013-01-12","0.0이딴 영화가 흥행하고 별점이 인셉션 급이라니 우리나라 문화예술계가 갈 데까지 갔구나 하는 생각이 든다. 아니, 원래 수준 낮았었나? 미취학 아동들이나 보며 질질 짜는 스토리를 보고 감동받았다니 이 나라 고등학교 문학교육은 아무래도 산으로 가고 있나보다.                     "
"1690","레미제라블",9,"2012-12-27","9.0솔직히 뮤지컬 영화인지 모르고 갔다가 대사 내내 뮤지컬이여서 황당함과 민망함이 겹쳤습니다지리함도있지만 보면 볼수록 진정한 용서가 무엇인지 깨닫게 해주고 포기하지않는꿈~ 아름다운 음악 감동..ost 수잔 보일의 음악을 핸폰에 깔고 계속 듣고있습니다. 뮤지컬을 좋아하지않는 분들은 권하고 싶진않습니다                    "
"968","변호인",10,"2013-12-22","10.0마지막 장면이 안녕들하십니까라고 묻는것 같아 가슴이 아려오네요                    "
"8722","책도둑",9,"2014-03-12","9.0아름다운 영화..배우들의 연기도 스토리 전개도 감동적이다. 개봉되길 바란다                    "
"9648","오늘의 연애",10,"2015-02-13","10.0이영화너무슬퍼요너무감동이에요대박                    "
"3543","은밀하게 위대하게",10,"2013-06-05","10.0웹툰이랑 아주 비슷햇던 점이 제일 좋앗음 ㅠㅠ 진짜 웹툰 그대로여서 너무좋앗고 캐스팅도 다 대박 진짜 ♥♥♥♥♥♥♥♥ 열번 더봐도 안아까워요ㅣ초ㅣ고                    "
"9706","어메이징 스파이더맨 2",10,"2014-04-27","10.0처음부터 끝까지 놓칠수 없는 장면이 많았어요~굿!                    "
"2726","비긴 어게인",7,"2014-08-28","7.0원스랑 비교안할 수가 없는데 마음을 울리는 음악의 깊이가이 약하네요~ 그리고 키이라 나이틀리가 밴드와 함께 연주하는 음악은 여러번 나오는데 차이를 모르게 다 비슷비슷~ 애덤리바인은 역시 노래 잘부르고 ㅎㅎ적당히 보기좋은 영화인듯                    "
"9249","신세계",9,"2013-03-20","9.0무간도도 정말 잘만든 작품이지만...광동어를 자막으로 보는것과 한국말로 듣고 보고 느낀것은 차이가 있다..오랫만에 르와르 작품중에 단순 깡패영화가 아닌 몰입도와 재미를 준 작품이다.무간도는 무간도이고 신세계는 신세계다...                    "
"3203","수상한 그녀",10,"2014-02-13","10.0힘든시기에 웃음주는 좋은영화다                    "
"3883","독수리 오형제",9,"2014-02-22","9.0일본내에서도 악평자자해서 혹시나하고 봤는데, 의외로 생각보다 재밌었음. 21세기 스탈 가챠맨의 액션도 오히려 과학닌자대라는 본래이름과도 어울리던데. 헐리웃 슈퍼히어로 때문에 우리 눈높이가 높아진걸 감안하면 조금만 빨리 나왔어도 평타는 치지 않았을까 싶다. 어릴적추억으로 9점준다.                    "
"9151","신세계",2,"2013-02-27","2.0어설프게 따라한 홍콩식 르와르영화                    [1]                    "
"4063","맨 오브 스틸",8,"2013-06-13","8.0여자악당이 수퍼맨 팰때부터 재밌더라                     "
"3544","쎄시봉",0,"2015-02-08","0.0음악도 중심이 아니고... 후반부로 갈수록 너무 지루합니다.                    [1]                    "
"6854","R.I.P.D.:알.아이.피.디.",6,"2013-08-25","6.0좀..밋밋한듯...편집을 재밌게 했으면 하는 아쉬움..                    "
"2007","군도:민란의 시대",7,"2014-07-31","7.0기대했는데 내용은 괜찮지만 재미는 없었음                    "
"6720","더 저지",10,"2015-02-08","10.0아버지와의 지금 관계를 생각하며 얼마나 울었는지 모릅니다.그렇게 아버지는 아들을 항상 사랑하고 있었을텐데....                    "
"421","너에게 나를 보낸다 2",8,"2014-08-07","8.0영화보구싶다 재밌을꺼같아요                    "
"7721","팬티 벗고 덤벼",10,"2014-12-19","10.0굿! 다시보고 싶은영화!                    "
"7412","덤 앤 더머 투",4,"2014-12-30","4.0기대감이 너무 컸던걸까? 웃기기보단 거부감이 많이 들고, 억지 설정에 피식 정도 말고는 내내 보기 민망한 기분이었다. 개인의 차이겠지만 전편이 훨씬 나았다고 생각된다.                     "
"3965","사랑해! 진영아",6,"2013-12-02","6.0나이 서른에서야 겨우 찾아가는 내 모습, 겨우 알아가는 모정. 그런 진영이의 모습, 참 귀엽다!                    "
"7862","리딕",8,"2013-12-02","8.0개인적으로 좋아하는 장르인지라 내용이야 어떻든 재밋게 봤습니다.                    "
"3547","올드보이",10,"2014-06-11","10.0무심코 던진 말에 사람을 파멸로 이끈다. 그에 대해 우린 아무것도 모르고 있지만... 이 영화 역시 무심코 보다간 경탄에 빠진다.                    "
"8993","그래비티",10,"2014-08-20","10.0우주의 배아, 그리고 인간의 조상이 물고기라는 가설도 있듯이 인간은 물에서 나왔다.                    "
"723","생선과 고양이",9,"2013-10-08","9.0원테이크의 정석을 본 느낌. 카메라 동선과 반대로 긴장감과 기괴함이 계속 느껴짐. 긴 러닝타임에도 불구하고 홀린듯이 관람. 개인적으로 기억에 남는 포인트들은 월광, 등장인물들의 등, 숲, 이어폰(헤드폰).                    "
"903","복숭아나무",10,"2013-02-02","10.0배우 조승우를조아해서 보게 되었는데 정말 감동적으로 잘봤어요.. 동화같은 이야기에 뒷부분거서는 정말 마니 울었어요. 음악도 영상도 배우들 연기모두 굿이었어요^^                     "
"6058","은밀하게 위대하게",10,"2013-07-23","10.0딱 한마디 : 대박~                    "
"3854","그 강아지 그 고양이",9,"2014-01-18","9.0난 이 영화를 보고 우리집 강아지가 보고 싶어 미칠 지경이었다 ㅠㅠ (특히 우주 죽어있는 장면)                    "
"8128","롤러코스터",7,"2013-10-18","7.0개그로 따지면 광해가 오히려 재밌있었지만 그냥 생각없이 웃자고 만든영화니 자꾸 먼가 의미를 찾지말고 즐기면 될듯합니다.                     "
"2386","변호인",10,"2013-12-30","10.0탁월한연기력에만점드립니다 가슴이먹먹한영화!                    "
"1907","나의 독재자",10,"2014-10-30","10.0신선하고 특이하고 좋던뎅 마지막엔 닭똥같은 눈물들잉..                    "
"8222","엽문 3",5,"2014-09-13","5.0양벽은 진화순의 스승 양찬의  큰아들임. 영화의 스토리가 조금??  제자보다 아들이 조금이라도 더 배웠겠지. 모르는 사람이 보면 양벽이 정통이 아닌줄 알겠네                    "
"9523","광식이 동생 광태",10,"2013-03-03","10.0 김주혁 씨가 부르는 세월이 가면 을들으니   한참지난 옛날 추억이 생각나서 오늘 하루종일 들었네요많이 공감되는 영화  많이좋아하는배우 김주혁씨오늘영화 다시보고 옛날생각에  행복했어요♥                    "
"8798","명량",3,"2014-08-22","3.0최민식이란 배우 자체는 연기파배운데.이순신이란 영화에는 별로안어울린다.연기도 어색하다.영화 자체도 흥미위주라 별로다.역사완 연관이 별루~                    "
"9079","루시",5,"2014-09-10","5.0사람까지 죽여가며 현대우주론과 진화론을 배우는 영화                    "
"4110","사하라",7,"2015-02-18","7.0가볍게 즐길 수 있는 경쾌한 어드밴쳐                    "
"4517","제보자",7,"2015-01-29","7.0대한민국을 뒤흔든 줄기세포 스캔들ㅋ 그 당시 황님은 신앙이였다ㅋㅋㅋ                    "
"3798","신세계",6,"2013-02-23","6.0무간도1.2편의 리메이크 버전! 무간도를 안봤으면 평점이 달라졌을 겁니다. 정말 재미는 있었지만 예측가능한전개 좀 과한설정 무간도와 차별성이 무리수를 둔것 같습니다. 그냥 따라 갔으면 좀 깔끔했을듯. 박성웅의 연기는 타짜 김윤석의 버금감! 주연급으로 비중을 늘렸으면 올 영화제 휩쓸엇을 지도. 연변 거지들 굿!                    "
"842","아이언맨 3",10,"2013-05-06","10.0슈트를자유자재로 입고벗고하는장면하고 싸울때액션이정말ㅋㅋㅋ또보고싶네요!                    "
"6342","겨울왕국",7,"2014-02-03","7.0뻔한 스토리..그림은 죽이더라..초반에 쓸데없는 만화는 왜 넣는지?  초반전개가 너무 지루했고...디즈니의 대표적 제작법이라지만 뮤지컬풍은 안넣었으면 한다....                    "
"4550","일곱난쟁이",10,"2014-12-28","10.0재밌어요! 보보 귀여워요♥                    "
"6228","호빗 : 스마우그의 폐허",6,"2013-12-18","6.0전쟁은 다음편 부터입니다...전쟁 시작전 영화는 끝납니다...                    "
"7259","명량",10,"2014-08-14","10.0전 정말 감동적으로 봤어요 바로 본론으로 들어가서 명량대첩만 다룬 것도 좋았고요.  영화보다 역사 속의 전투가 더 처절했을 것을 생각하니 참 찡했어요                    "
"9304","완전 소중한 사랑",10,"2013-11-05","10.0우리가 정말 감사하고 살아야하는 가치들이 무엇인지 또 다시금 일깨워주는 영화... 나를 다시 DAUM앱으로 인도한 영화!!(?ㅋ)그리고... 기대치 않았던 완소사 남자주인공'온유' .. 신길동 사시는 임지규 배우님의 깜짝 방문까지..ㅋㅋ완.소.사 흥해라!!! DAUM 흥해라!! 화이팅!!                    "
"2987","변호인",9,"2014-09-09","9.0그가 추구했던 삶은 일반인과는 다른 뜨거운 무언가가 있었나 봅니다. 출세에서 어떤 가치를 추구해야 할지 갈등하게 되는 영화 같습니다. 불공평한 세상에 사는 사람들이 그를 다시 추억하게 하는 영화였습니다.                     "
"9691","슬로우 비디오",10,"2014-10-04","10.0바쁜세상에 여유를 갖게 해주는 영화. 건강함의 감사를 잊고 잇엇다 깨닫게 해주는 영화.                    "
"7434","퍼시픽 림",9,"2013-07-16","9.0평가 안좋은 댓글보고 말성이다 봤는데..1점주는 애들은 영화나 제대로 보고 평가하는건지스토리 무난했고 연기력 일본배우만 빼면 나머진 어느정도 되고 액션,그래픽은 로봇나온 영화중에 쵝오였다. 같이간 여친도 잼있다고 난리..돈 아깝지 않고 너무나 잘만 보고왔어요.ㅋㅋ                    "
"7367","감기",9,"2014-10-19","9.0지금 정부인사들이 꼭 봐야할 영화. 국민을 지키는 것이 나라입니다.                    "
"4011","동창생",0,"2013-12-24","0.0이게 점수가 있다는게 신기 할뿐                    "
"1555","이누야샤 - 거울속의 꿈과 환상의 성",10,"2013-11-07","10.0재밌어요ㅠ                    "
"3589","인투 더 스톰",8,"2015-01-22","8.0영화가 참 몰입감이 장난이 아니다                    "
"2847","미션 임파서블 3",8,"2013-03-02","8.0첩보물의 미덕에 최첨단 액션까지 첨가된 뛰어난 오락영화                    "
"6482","타임 투 러브",5,"2014-11-21","5.0맙소사...크리스가 왜 이런 영화를... ㅡㅡ;                    "
"9404","7번방의 선물",10,"2013-03-16","10.0완전 짱                     "
"4959","한공주",9,"2014-04-25","9.0아무 내용도 모르고 그냥 무턱대고 극장에서 보는 동안 무슨 내용일까 궁금하기도 했는데. 보는 내내 마음이 무겁더군요. 게다가 실화 바탕인 게 참..                     "
"1384","해적 : 바다로 간 산적",8,"2014-08-15","8.0대박,;...시원 통쾌 멋쪄,,,,                    "
"7923","클라우드 아틀라스",10,"2013-01-15","10.0취향을 심하게 타는 영화입니다. 화려한 영상미나 자극적인 내용을 좋아하시는 분에게는 지루할지도 모르겠네요. 저는 무척 재미있게 보았습니다.                    "
"9821","황제를 위하여",0,"2014-08-17","0.0쓰레기 조폭영화. 끝!                    "
"611","베를린",0,"2013-02-05","0.0광고비용으로 영화에 투자했으면...감동, 재미, 액션 등 전부문에 있어서 완전 실망이네요. 영화보면서 졸기는 참 오랜만이네요. 간만에 돈 아깝다는 생각이 팍팍드는 영화였네요. 참고로 저만 재미없는 줄 알았는데 주변에서 동생이 봤는데 저랑 똑같이 재미없다고 난리네요. 배우들 광팬이 아니면 적극 비추합니다~~~                    [3]                    "
"3290","인터스텔라",9,"2015-02-23","9.0재미있었다 이것밖에 안떠오른다우주에 대한 상상력의 표현도 좋았던것같다                    "
"9761","드래곤 길들이기2",5,"2014-07-26","5.0재미없다 보다 졸았다일편보다 훨씬 재미없고  지루하다                    "
"4250","파파로티",10,"2013-03-21","10.0'피아노의 숲'과 '호로비츠를 위하여'의 성악버젼. 내용이 뻔해도 알면서도 빠져든다. 정말 멋진 두 남자 때문에^^ 마음에 힘을 주는 영화.                    "
"2937","스윙 걸즈",0,"2013-08-23","0.0평점이 너무 높네 이상하네.                    "
"9273","변호인",10,"2013-12-28","10.0다시 보려구요, 이번엔 혼자가서 몰입하고 와야지                    "
"9953","변호인",10,"2014-01-03","10.0오랫만에 몰입된 영화..                    "
"3384","테이큰",9,"2014-10-23","9.0드래그 미 투 헬 같은 쓰레기가 전문가 평점 7.7 인데 이건 5.8 ㅋㅋㅋ전문가가 아니라 존문가 아님?                    "
"2531","프라임 러브",6,"2013-03-21","6.0킬링타임용으로 적절하군                    "
"4600","더 컴퍼니 맨",9,"2015-01-10","9.0현실에서는 이와 같은 해피엔딩을 찾기가 어렵다는 것을 알지만, 만약 영화마저 해피엔딩이 아니었다면 마음이 아파 도저히 보지 못했을 것 같다.                       "
"7070","둠",8,"2013-02-06","8.0볼만했지만 ...여주인공의 맥빠지는 연기력에 자꾸 짜증이..ㅠㅠ                    "
"2864","루시",9,"2014-09-11","9.0매우 어려운 영화..  단순히 할리우드식의 쾅쾅 거리는 액션은 조금 과장된 면이 있으나, 이건 뤽베송 감독 영화의 공통점인듯..  내용 전개는 그래도 치밀하고 흥미롭게 이어진듯..  SF영화를 즐기는 사람들은 좋아하겠지만, 권선징악형의 단순 액션을 좋아하는 이들에게는 잼없을듯..                     "
"9145","공범",10,"2013-10-28","10.0얼마나 기다렷던 영화인지 모르곘네요 개봉하자마자 조조로 본건데 그만한 가치가 있어요                    "
"3215","반창꼬",10,"2013-01-13","10.0이제 무조건 고수믿고 보면 되겠다 영화도 생각보다 너무 재밌고 따스하고 유쾌하고 훈훈하고 좋았지만  고수 하나만으로도 표값아깝지않은 배우 인물이면 인물 연기면 연기.. 어느것하나 깔게없다.                    "
"5499","철권 : 블러드 벤젠스",9,"2015-01-08","9.0스토리는 간단하네요.^&^ 하지만 재미있네요. ^&^ 무엇 보다도 제임스카메론 감독이 캡틴하록이 애니메이션의 신기원을 이루었다고 했지만, 전 이 애니메이션이 신기원을 이룬것 같네요. ^&^ 영상의 표현력이나 캐릭터의 표현력은 대단하다고 밖에는 ...^&^                    "
"9787","베를린",9,"2013-01-30","9.0마지막까지 긴장감있게 봤네요..최고!!다만 대사전달에서 약간 중얼거리는 발음만 아니라면 더 좋았을거라 생각..발음때문에 1점뺌..                    "
"5008","주온 : 끝의 시작",10,"2014-07-22","10.0옆에 여자 계속 꺅꺅 대서 짜증났지만 시원하게 잘봤네요                    "
"8345","헝거게임: 캣칭 파이어",10,"2014-02-15","10.03편이 너무 기대된다                    "
"1471","사다코2",7,"2014-03-27","7.0아이디클릭-관람후410편-알바아니라는증거임)사다코1편보다는 재미있음~사람을 많이 놀라게한다~조용하다가...................파............이런식인데 나름대로 스릴있음                    "
"3073","오세암",10,"2013-12-28","10.0늦게접했지만 최고의 애니입니다.실화가 아니길 바라네요.  너무 가슴아파요.                    "
"730","주온 : 끝의 시작",8,"2014-07-23","8.0날씨도 더운데 여자친구랑 주온보고 더위나 날려버리야지.....으 덥다~                    "
"6033","숨바꼭질",9,"2013-08-13","9.0일단 연기자 믿고 봤는데 역시 기대를 저버리지 않더군요. 전혀 지루할 틈이 없을만큼 긴박했고 많이 무서웠어요                     "
"9987","천안함 프로젝트",5,"2013-09-09","5.0강한부정은 강한긍정?                     "
"8883","워킹걸",9,"2015-01-13","9.0예고편까지 챙겨보고 갔는데 그때까지만해도 큰기대는 없었어요... 하지만~ 포복절도 했네요^^ 저랑 같이 간 3명도 함께요  강추합니다~ 후회 안하실거예요~                    "
"1173","지.아이.조 2",10,"2013-03-29","10.0100점줘야 한다...                    "
"6000","내 아내의 모든 것",8,"2013-07-08","8.0귀여운 영화임. 오버스러운 연출을 자연스럽게 받아들이게 만드는것도 능력인듯                    "
"770","피끓는 청춘",10,"2014-01-22","10.0기대이상으로 재밌다. 한번더 보러가야지                    "
