"","movieTitle","score","regDate","wom"
"8668","루시",1,"2014-10-09","1.0최민식이 왜 요딴걸 ??? 창피하다평점이 너무 높아서 1점을 준다 그리고 전문가 평정이 이번엔 적절 하다고 본다.                    "
"1747","두근두근 내 인생",0,"2014-09-03","0.0졸리다                    "
"2618","방황하는 칼날",9,"2014-06-24","9.0아 열받는다.                    "
"4937","쾌걸 조로리의 대대대대모험",0,"2013-06-10","0.0이제 개그맨이 까여도 디스못해ㅇㅇ자업자득                    "
"8893","고지전",8,"2013-02-14","8.0전쟁에서의 적(敵)은 전쟁 자체이다.                      "
"3942","창수",4,"2015-02-21","4.0스토리의 개연성이 안습...진짜 스토리가 억지스럽네요                    "
"2948","응징자",8,"2013-12-07","8.0나도 배우들 미쓰 케스팅에 한표. 그래도 이 사회의 진상의 모습을 담아보려 했다고 한다면 쪼금 점수를 주고도 싶다.                    "
"8741","천안함 프로젝트",10,"2013-12-16","10.0와우!!!                    "
"3398","설국열차",0,"2013-08-06","0.0ㅋㅋㅋ 그냥 안봐도 쓰레기네....좀 뜨더니 허세 개쩌는 감독이 됬어..                    "
"4850","위대한 개츠비",10,"2013-05-18","10.0내용전혀모르고 본건데 2시간넘도록 정말 빠져들어서 봤어요. 디카프리오의 설레는연기도 볼만했고 3D로봐도 괜찮을거같아요^^ 추천!!!                    "
"4150","셜리에 관한 모든 것",7,"2014-10-01","7.0극강의 예술영화. 그림이 주는 정적인 분위기탓에 흥미가 반감이 되지만 미학을 모티브로 영화를 만들 수 있다는 것에 경의를 표한다. 다만 재미는 없다.                     "
"1482","새벽의 저주",6,"2013-02-10","6.0기대보단 재미없네요. 그나마 좀비영화치곤 볼만정도                    "
"1695","변호인",10,"2014-03-03","10.0역시 송강호... 노무현 대통령과 오버랩되는 느낌을 주다니..헐 대단한 배우다..                    "
"9995","로보캅",6,"2014-02-17","6.0원작을 보지말고 그냥 봐야됨....원작보시면 100% 후회 일단 컴퓨터그래픽만 짱! 제일 중요한 메인드 인 USA 가 아닌 CHINA 임 ㅋ                    "
